rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,radom_udział,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,36.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,,,
apartamentowiec,36.6,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713333.3333333334,,,
apartamentowiec,50.8,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055000.0,,,
apartamentowiec,50.8,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000.0,,,
apartamentowiec,59.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,899000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,59.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,898333.3333333334,,,,,,,,,,,,,,,,,,,
apartamentowiec,62.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950000.0,
apartamentowiec,66.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,899000.0,,,,,,,,,,,,,,,,1450000.0,,935000.0,
apartamentowiec,68.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,1460000.0,,,610000.0,,,,,,,,,,,,,,,,
apartamentowiec,88.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300000.0,,,
apartamentowiec,88.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295000.0,,,
apartamentowiec,40.4,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685000.0,
apartamentowiec,62.37,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,799900.0,,,,,,,,,,,,,,,,
apartamentowiec,71.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197000.0,,,
apartamentowiec,74.82,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490000.0,,,
apartamentowiec,86.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287000.0,,,
apartamentowiec,102.0,nizki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000.0,,,
apartamentowiec,102.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050000.0,,,
apartamentowiec,130.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810000.0,,,
apartamentowiec,25.13,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,480000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,25.5,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,509000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,26.52,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,510000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,29.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,569000.0,,,,,,,,,,,,,,,,815000.0,,,
apartamentowiec,29.11,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,515000.0,,,,,,,,,,,,,,,,,,479000.0,
apartamentowiec,30.0,wysoki_poziom_jakosci,listopad_2023,,,,,,,,,,,,,599000.0,,,320000.0,,,,,,,,,,,,,709000.0,,,
