rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,62.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,940000.0,,,,,,,,,,,,,,,,,
apartamentowiec,62.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,970000.0,,,,,,1355600.0,,,,,,,,,,840000.0,,,,,,1390000.0,
apartamentowiec,64.33,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,910000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,64.77,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1094733.3333333333,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,65.0,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000.0,,,
apartamentowiec,65.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1019000.0,,1900000.0,,,,1450000.0,,,,,,975000.0,,617500.0,,,,,,1205000.0,,999332.3333333334,
apartamentowiec,65.09,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1210000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,65.61,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1590000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.1,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,67.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1140000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,68.65,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1750000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,75.83,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1360000.0,,,,,,,,,,,,,,,,,,,,1744090.0,,,
apartamentowiec,76.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,985000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,76.1,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1199900.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,77.03,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1490000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,79.37,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1420000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,94.83,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,1830000.0,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,42.6,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,467780.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,48.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164000.0,
apartamentowiec,49.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000.0,,,
apartamentowiec,50.5,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1160000.0,,760000.0,
apartamentowiec,51.56,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,490000.0,,,,,,,,,,,,,,,,,,,
apartamentowiec,53.4,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,725000.0,,,
apartamentowiec,57.12,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1020000.0,,,
apartamentowiec,63.4,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,1299000.0,,,
apartamentowiec,64.47,nizki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,650000.0,,,,,,,,,,,,,,,
apartamentowiec,69.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,948750.0,,1380000.0,,,,,,,,,,,,,,1358000.0,1250000.0,750000.0,
apartamentowiec,69.1,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,,,,,,,,,,,,,799999.0,,,,,
apartamentowiec,77.0,wysoki_poziom_jakosci,kwiecien_2024,,,,,,,,,,,,,1925000.0,,,,,,,,,,,,,,1450000.0,,,
